,game_date,game_id,event,team,opponent,home,goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession,shots,shots_on_goal
142,2019-03-24 02:30:00,533364,"2019 Major League Soccer, Regular Season",LAFC,Real Salt Lake,1.0,2,18,2,0,0,11,0,0.68,19.0,7.0
143,2019-03-24 02:30:00,533364,"2019 Major League Soccer, Regular Season",Real Salt Lake,LAFC,0.0,1,16,5,1,1,0,5,0.32,3.0,1.0
144,2019-03-17 19:00:00,533371,"2019 Major League Soccer, Regular Season",New York City FC,LAFC,1.0,2,19,5,0,2,3,2,0.6,16.0,6.0
145,2019-03-17 19:00:00,533371,"2019 Major League Soccer, Regular Season",LAFC,New York City FC,0.0,2,12,3,0,1,5,4,0.4,18.0,4.0
146,2019-03-10 23:30:00,533378,"2019 Major League Soccer, Regular Season",LAFC,Portland Timbers,1.0,4,12,2,0,0,2,1,0.6,18.0,7.0
147,2019-03-10 23:30:00,533378,"2019 Major League Soccer, Regular Season",Portland Timbers,LAFC,0.0,1,13,1,1,1,4,3,0.4,12.0,2.0
148,2019-02-01 03:00:00,534511,"2019Club Friendly, Club Friendly",LAFC,Vissel Kobe,1.0,4,,,,,,,,,
149,2019-02-01 03:00:00,534511,"2019Club Friendly, Club Friendly",Vissel Kobe,LAFC,0.0,1,,,,,,,,,
150,2019-02-24 01:30:00,535876,"2019Club Friendly, Club Friendly",LAFC,Vancouver Whitecaps,1.0,1,,,,,,,,,
151,2019-02-24 01:30:00,535876,"2019Club Friendly, Club Friendly",Vancouver Whitecaps,LAFC,0.0,0,,,,,,,,,
152,2019-02-16 20:00:00,535877,"2019Club Friendly, Club Friendly",San Jose Earthquakes,LAFC,0.0,3,,,,,,,,,
153,2019-02-16 20:00:00,535877,"2019Club Friendly, Club Friendly",LAFC,San Jose Earthquakes,1.0,0,,,,,,,,,
154,2019-02-10 21:00:00,535878,"2019Club Friendly, Club Friendly",Atlanta United FC,LAFC,0.0,2,,,,,,,,,
155,2019-02-10 21:00:00,535878,"2019Club Friendly, Club Friendly",LAFC,Atlanta United FC,1.0,2,,,,,,,,,
156,2019-02-04 22:00:00,535879,"2019Club Friendly, Club Friendly",LAFC,Columbus Crew SC,1.0,2,,,,,,,,,
157,2019-02-04 22:00:00,535879,"2019Club Friendly, Club Friendly",Columbus Crew SC,LAFC,0.0,4,,,,,,,,,
158,2019-01-27 20:30:00,535880,"2019Club Friendly, Club Friendly",LAFC,Toronto FC,1.0,3,,,,,,,,,
159,2019-01-27 20:30:00,535880,"2019Club Friendly, Club Friendly",Toronto FC,LAFC,0.0,1,,,,,,,,,
160,2019-06-12 02:00:00,540538,"2019 U.S. Open Cup, Fourth Round",LAFC,Real Salt Lake,0.0,3,9,0,0,2,5,1,0.61,9.0,6.0
161,2019-06-12 02:00:00,540538,"2019 U.S. Open Cup, Fourth Round",Real Salt Lake,LAFC,1.0,0,15,3,0,4,2,3,0.39,4.0,1.0
162,2019-06-21 02:30:00,541847,"2019 U.S. Open Cup, Round of 16",LAFC,San Jose Earthquakes,1.0,3,9,1,0,1,6,8,0.5,17.0,9.0
163,2019-06-21 02:30:00,541847,"2019 U.S. Open Cup, Round of 16",San Jose Earthquakes,LAFC,0.0,1,15,3,0,2,5,6,0.5,20.0,9.0
164,2019-07-11 02:30:00,546657,"2019 U.S. Open Cup, Quarterfinals",Portland Timbers,LAFC,0.0,1,20,3,0,3,6,1,0.39,11.0,5.0
165,2019-07-11 02:30:00,546657,"2019 U.S. Open Cup, Quarterfinals",LAFC,Portland Timbers,1.0,0,10,2,0,2,6,4,0.61,11.0,1.0
166,2019-10-25 02:30:00,557512,"2019 Major League Soccer, Western Conference Playoffs - Semifinals",LAFC,LA Galaxy,1.0,5,10,0,0,4,3,3,0.42,12.0,7.0
167,2019-10-25 02:30:00,557512,"2019 Major League Soccer, Western Conference Playoffs - Semifinals",LA Galaxy,LAFC,0.0,3,8,3,0,1,6,2,0.58,16.0,6.0
168,2019-10-30 02:00:00,558276,"2019 Major League Soccer, Western Conference Playoffs - Finals",Seattle Sounders FC,LAFC,0.0,3,12,2,0,3,2,3,0.31,11.0,5.0
169,2019-10-30 02:00:00,558276,"2019 Major League Soccer, Western Conference Playoffs - Finals",LAFC,Seattle Sounders FC,1.0,1,9,0,0,1,9,2,0.69,15.0,4.0
